"","_id","articleId","informfully_id","createdAt","articlePublishedDate","removedAt"
"619","zfXgASByksaMdHGup","655e97d44694f1d9099d97ce","8pmKEpKbziz8DytSs",2023-11-23 22:05:14,"1700490367660",2023-11-23 22:05:14
"620","e4drD8oJgynvLNTZA","655e97d44694f1d9099d97ce","8pmKEpKbziz8DytSs",2023-11-23 22:05:14,"1700490367660",NA
"621","84S8gpMop9J7dn6Au","655e96ea4694f1d9099d8bbd","CfiKa3vC88z7xPpBy",2023-11-23 22:35:21,"1700490367660",NA
"622","WfPTyeMXwzEnKkn6t","655e96ea4694f1d9099d9055","CfiKa3vC88z7xPpBy",2023-11-23 22:37:21,"1700490367660",2023-11-23 22:37:34
"623","nBw9JRjYnXKxtENyS","655e97be4694f1d9099d9785","sbrRqPzYP5pcPTaKB",2023-11-23 23:06:23,"1700490367660",NA
"624","9keLWrX8LNmFr5TEW","655e37b25ee079b0bb8961ea","sbrRqPzYP5pcPTaKB",2023-11-23 23:09:23,"1700490367660",NA
"625","myqaaq9XgeofocYLE","655e97824694f1d9099d96fe","7yy9yuLTaZvRPv4r2",2023-11-23 23:16:37,"1700490367660",NA
"626","2NfhkMfkfX64MdyCM","655e97cb4694f1d9099d97b3","sjs9QoPN4H3GCRm3d",2023-11-23 23:22:58,"1700490367660",NA
"627","fGpGKXSLG3Rp9yoez","655e97d24694f1d9099d97c6","9v8GJzaYo9AGiNTRF",2023-11-23 23:29:11,"1700490367660",NA
"628","eS66RQkBhseHKnqAP","655e97d44694f1d9099d97ce","NHWD7jmQuKSwiBu72",2023-11-23 23:29:39,"1700490367660",NA
"629","yGzvjXqriJPbs9dFB","655e97d54694f1d9099d97d2","b9PwdgaetBKq7e89v",2023-11-23 23:34:35,"1700490367660",NA
"630","8n46kmHiXzaotd6d8","655e97444694f1d9099d9690","sAjyrDYcnYyDpPAZB",2023-11-23 23:34:59,"1700490367660",NA
"631","wKqtcP8reF6ct6w5m","655e97d64694f1d9099d97d3","b9PwdgaetBKq7e89v",2023-11-23 23:35:36,"1700490367660",NA
"632","Xo8rFnv5PfYucMYeJ","655e97154694f1d9099d9623","5of4ooQsCgxLCqr74",2023-11-23 23:38:08,"1700490367660",NA
"633","LbfZSXAGmLe8XFSyf","655e96ea4694f1d9099d8cc9","ZnZBEwxSXFEkY6kzM",2023-11-23 23:41:09,"1700490367660",NA
"634","SzTQdKnFPWsey3zA6","655e97d54694f1d9099d97d2","9v8GJzaYo9AGiNTRF",2023-11-23 23:42:29,"1700490367660",NA
"635","GXhWxBAoQkE6o27v3","655e97d44694f1d9099d97ce","9v8GJzaYo9AGiNTRF",2023-11-23 23:42:57,"1700490367660",NA
"636","y5LWZaAt7i6Q3cZjW","655e97d44694f1d9099d97ce","5of4ooQsCgxLCqr74",2023-11-23 23:44:36,"1700490367660",NA
"637","MXoaCR3Na6CcnH4md","655e97d44694f1d9099d97ce","ZnZBEwxSXFEkY6kzM",2023-11-23 23:46:46,"1700490367660",NA
"638","BgemDwzgE36LbiAQa","655e96ea4694f1d9099d8b86","ZnZBEwxSXFEkY6kzM",2023-11-23 23:48:48,"1700490367660",2023-11-23 23:48:49
"639","NLnxmXPM9fBYrPCSc","655e96ea4694f1d9099d8b92","ApS8YWr3rLN8pGGnR",2023-11-23 23:57:31,"1700490367660",NA
"640","ni5QwHz2JLBEHrDj7","655e96ea4694f1d9099d8e34","QibRJjjLkM9rwvoxx",2023-11-24 00:11:39,"1700490367660",NA
"641","FNmztHbxKoN34sDEN","655e97044694f1d9099d95fd","QibRJjjLkM9rwvoxx",2023-11-24 00:11:52,"1700490367660",NA
"642","d9f5vK84BA5zPKSSG","655e97d44694f1d9099d97ce","LEQZ89TCehNT6ohfP",2023-11-24 00:11:58,"1700490367660",NA
"643","9cs5YW4bN4nMT8vGd","655e97d64694f1d9099d97d3","pbsDFEoXskckBT8yv",2023-11-24 00:22:03,"1700490367660",NA
"644","a5mrwBmdAwdpunBro","655e97d34694f1d9099d97cc","EqG9GSXdSGJk7aitG",2023-11-24 00:23:37,"1700490367660",NA
"645","n4X42ReTd3rgpQTKs","655e97d64694f1d9099d97d3","cj8Qw2nMiLQExzwRT",2023-11-24 00:27:20,"1700490367660",NA
"646","F4ShfFzAnycGqjWGR","655e97d64694f1d9099d97d3","ayC7AQBsAqqrHcF8k",2023-11-24 00:49:31,"1700490367660",NA
"647","mSHsSRznZR8YWY2Kk","655e973d4694f1d9099d967f","BKCZjHEGxmL7oFJwK",2023-11-24 00:52:23,"1700490367660",NA
"648","eE4FGi64EhvvfhaCv","655e97d34694f1d9099d97ca","ayC7AQBsAqqrHcF8k",2023-11-24 00:53:55,"1700490367660",NA
"649","n8FDvjrwXcLKaGNuo","655fea12fc30ed2f097c6927","bcdnamsysdterrBLx",2023-11-24 01:56:14,"1700490367660",2023-11-24 06:21:00
"650","tZe6mjovGg7qJbDLw","655fea78fc30ed2f097c6a6d","PpNwbEGkMTXCHquMB",2023-11-24 06:02:22,"1700490367660",2023-11-24 06:02:26
"651","oT7TNN8wuPi4zMwAX","655fe9e0fc30ed2f097c68a3","tsTDYFq5TkmsiwTZu",2023-11-24 06:14:12,"1700490367660",2023-11-24 06:14:17
"652","bQ22WXFGnpjdW2hAk","655fea6afc30ed2f097c6a3a","7z9xpKwwmN6wrNAA3",2023-11-24 06:19:32,"1700490367660",NA
"653","nnWRmaqiFfuoCnqgc","655fe9cafc30ed2f097c6861","bcdnamsysdterrBLx",2023-11-24 06:20:19,"1700490367660",NA
"654","BNekGAzmm3BNzNx6A","655fe9d6fc30ed2f097c6882","bcdnamsysdterrBLx",2023-11-24 06:22:27,"1700490367660",2023-11-24 06:22:28
"655","8CDNHyrbRiojsFdP7","655fea6dfc30ed2f097c6a46","cqNk6ASXxNw7bZp5s",2023-11-24 06:26:31,"1700490367660",NA
"656","pKNGGz6duFHHwDZGk","655f53a490673a63ff46c2ea","MnSRX95LoLNtMcEpz",2023-11-24 06:31:33,"1700490367660",NA
"657","BJZQWweg924pJrkyM","655fea71fc30ed2f097c6a59","MnSRX95LoLNtMcEpz",2023-11-24 06:36:41,"1700490367660",NA
