"","informfully_id","Duration..in.seconds.","informed_consent","pol_int","pol_pos_1","pol_eff_1","pol_eff_2","pol_eff_3","pol_eff_4","pol_eff_5","iss_imp","env_int","nws_app","nws_int","env_new","env_dis","alg_pre_1","alg_pre_2","alg_pre_3","alg_pre_4","alg_pre_5","jou_pre_1","jou_pre_2","jou_pre_3","ata_pos_1","ata_pos_2","ata_pos_3","ata_pos_4","ata_pos_5","ata_pos_6","ata_pos_7","ata_pos_8","ata_pos_9","ata_pos_10","ata_pos_11","ata_pos_12","ata_neg_1","ata_neg_2","ata_neg_3","ata_neg_4","ata_neg_5","ata_neg_6","ata_neg_7","ata_neg_8","div_val_1","div_val_2","div_val_3","div_val_4","div_val_5","div_val_6","div_val_7","inf_ovr_1","inf_ovr_2","inf_ovr_3","inf_ovr_4","inf_ovr_5","inf_ovr_6","top_int_1","top_int_2","top_int_3","top_int_4","top_int_5","top_int_6","top_int_7","top_int_8","top_int_9","top_int_10","top_int_11","top_int_12","top_int_13","experimental_group_w1","personalisation","took_survey_week1","took_survey_week2","pol_eff_1_r","pol_eff","alg_pre","jou_pre","inf_ovr","ata_pos","ata_neg","div_val","experimental_group_w2"
"185","eiM8pFWHFbNBubNSe",954,1,1,5,5,1,1,1,1,6,4,2,3,2,1,5,5,4,5,4,4,2,4,5,4,3,4,4,4,4,4,5,4,4,5,5,6,4,6,5,1,6,5,5,5,5,5,5,5,5,4,7,4,4,4,4,5,5,6,1,6,5,1,4,4,5,5,2,3,2,"thu_exp",1,1,"3",1.4,4.6,3.33333333333333,4.5,4.16666666666667,4.75,5,1
"186","EjEJZciJ6REjRr7Ts",945,1,5,7,3,5,4,5,5,6,6,1,6,4,3,3,2,3,2,3,2,2,1,2,5,4,5,3,5,4,3,5,3,2,2,4,5,3,3,3,4,5,3,5,6,6,6,6,6,5,3,3,5,3,2,3,5,6,7,2,6,7,6,5,3,6,6,7,5,4,"thu_edi",1,1,"5",4.8,2.6,1.66666666666667,3.16666666666667,3.58333333333333,3.75,5.71428571428571,4
"187","eJMdx9iKqDEmoMeKT",567,1,5,1,4,4,2,2,5,6,6,1,7,2,2,2,4,2,4,2,2,2,2,2,1,3,5,4,3,4,2,3,4,4,5,6,6,6,6,7,4,5,6,5,5,2,5,6,6,6,5,4,4,2,5,2,5,7,5,2,5,5,4,4,4,4,6,6,5,3,"wed_imp",0,0,"4",3.4,2.8,2,3.66666666666667,3.33333333333333,5.75,5,1
"188","eptXbzWMusBm2Thb8",517,1,5,5,5,3,3,2,5,4,3,2,3,2,1,3,3,2,2,3,3,2,2,2,3,1,2,2,3,5,1,2,1,1,1,6,6,3,4,4,2,6,6,6,5,6,6,6,6,6,3,5,5,4,4,3,5,6,5,6,6,5,4,5,6,5,6,4,5,4,"wed_edi",1,1,"3",3.2,2.6,2.33333333333333,4,2,4.625,5.85714285714286,4
"189","EQfRgdjHyJevdNFxe",307,1,5,3,6,5,5,5,6,6,6,1,7,1,1,5,6,6,1,1,2,2,2,7,6,5,7,7,5,6,3,6,5,5,6,3,1,1,2,3,1,3,5,7,6,6,7,7,6,6,3,1,6,2,2,3,1,6,6,1,6,6,5,5,1,5,7,6,5,2,"thu_edi",0,0,"2",4.6,3.8,2,2.83333333333333,5.66666666666667,2.375,6.42857142857143,1
"190","EqG9GSXdSGJk7aitG",610,1,7,5,3,5,5,2,4,7,6,2,6,6,5,2,5,3,1,1,3,3,2,5,5,5,6,5,5,6,3,7,5,4,5,5,5,4,3,2,3,4,4,6,6,6,7,6,7,6,6,3,6,5,4,4,6,6,7,2,5,6,6,5,2,6,6,7,5,4,"thu_exp",0,0,"5",4.2,2.4,2.66666666666667,4.66666666666667,5.08333333333333,3.75,6.28571428571429,1
"191","eQhhJuXzJ9u2h2SAN",393,1,5,5,5,5,2,4,5,7,6,1,5,4,3,6,5,6,5,2,5,3,4,2,5,5,4,5,5,5,4,5,4,5,4,4,4,3,3,5,3,2,5,7,7,7,7,6,6,7,1,1,6,4,4,2,5,6,5,2,5,5,5,5,2,5,7,6,6,2,"wed_edi",1,1,"3",3.8,4.8,4,3,4.41666666666667,3.625,6.71428571428571,1
"192","eqr37oQEpKjnLCrSC",570,1,6,4,2,6,5,3,6,7,7,1,5,6,1,5,5,5,3,3,5,5,5,5,5,5,6,6,5,6,5,5,5,5,6,4,2,2,2,3,2,2,4,7,7,7,7,7,7,7,5,2,5,3,5,6,5,5,5,2,6,5,6,7,5,6,7,6,7,3,"wed_exp",1,1,"6",5.2,4.2,5,4.33333333333333,5.33333333333333,2.625,7,1
"193","EWarKyNPKSC58tw3z",995,1,5,3,3,5,2,3,3,6,6,2,3,1,4,3,1,1,1,1,2,1,5,1,5,4,6,5,5,5,3,5,3,1,5,5,4,3,2,5,4,5,5,7,7,7,7,7,7,3,3,5,5,5,5,5,2,7,5,1,7,7,5,7,5,5,7,6,6,3,NA,0,0,"5",3.6,1.4,2.66666666666667,4.66666666666667,4,4.125,6.42857142857143,NA
"194","EwYkE6QkvDG3fF6Bn",405,1,3,2,6,3,2,6,2,6,5,2,3,2,4,6,4,6,3,4,6,3,6,1,6,2,6,4,5,5,2,5,5,5,3,5,5,5,5,6,6,4,5,6,7,5,7,6,6,7,2,3,5,4,2,4,6,5,3,6,7,2,2,6,6,2,5,5,6,1,NA,0,0,"2",3,4.6,5,3.33333333333333,4.08333333333333,5.125,6.28571428571429,NA
"195","eyHacBmt4DakAhfNh",375,1,6,1,2,6,7,6,5,7,6,1,5,5,5,3,3,5,2,3,3,3,3,5,5,5,5,3,5,5,3,6,5,5,3,6,3,6,5,6,6,5,3,6,7,6,7,5,7,6,7,5,2,6,5,7,3,6,5,2,6,6,6,7,3,5,6,6,7,1,NA,0,0,"6",6,3.2,3,5.33333333333333,4.58333333333333,5,6.28571428571429,NA
"196","EZKEBdytgt2dmE9y9",432,1,6,4,2,4,6,3,5,7,6,1,7,8,4,3,3,2,2,3,3,2,4,5,7,5,5,6,6,7,4,7,4,5,5,5,7,4,4,6,3,2,4,6,6,4,6,6,6,6,6,4,6,5,6,5,7,3,5,6,5,3,6,6,6,6,6,6,6,2,"wed_exp",1,1,"6",4.8,2.6,3,5.33333333333333,5.5,4.375,5.71428571428571,1
